DB Item Name,DB Price,Current Xero Code,Matched Xero Code,Xero Name,Xero Price,Xero Account,Xero Status,Match Score,Price Match
"1ltr Flint Glass Food Jar 82mm Twist Neck Finish",0,RAW036,RAW036,"1ltr Flint Glass Food Jar 82mm Twist Neck Finish",0,,Active,1.00,Yes
"325ml Flint Glass Round Food Jar 70mm Deep Twist",0.48,RAW009,RAW009,"325ml Flint Glass Round Food Jar 70mm Deep Twist",0.48,100.003,Active,1.00,Yes
"375ml Flint Glass Food Jar 63mm Twist Neck Finish",0,RAW041,RAW041,"375ml Flint Glass Food Jar 63mm Twist Neck Finish",0,,Active,1.00,Yes
"500g Shallow Twist Black Lid",0.13,RAW013,RAW013,"500g Shallow Twist Black Lid",0.13,100.002,Active,1.00,Yes
"500ml Glass Jar (Medium Size) - 63mm Twist Finish",0.32,RAW012,RAW012,"500ml Glass Jar (Medium Size) - 63mm Twist Finish",0.32,100.001,Active,1.00,Yes
"63MM BLACK METAL RTS PUFF COMPOUND NO BTN CAP",0,RAW042,RAW042,"63MM BLACK METAL RTS PUFF COMPOUND NO BTN CAP",0,,Active,1.00,Yes
"82MM BLACK METAL RTS PUFF COMPOUND NO B (1L / 1KG)",0,RAW037,RAW037,"82MM BLACK METAL RTS PUFF COMPOUND NO B (1L / 1KG)",0,,Active,1.00,Yes
"ABC (Almond, Brazil & Cashew) Butter (250g) Label",0,RAW019,RAW002,"Peanut - Dark Roasted (Australian)",0,,Active,0.80,Yes
"ABC (Almond, Brazil & Cashew) Butter 250g",7.45,111,RAW002,"Peanut - Dark Roasted (Australian)",0,,Active,0.80,No
"Alfie's - ABC Butter (250g)",44.7,AFC023,AFC023,"Alfie's - ABC Butter (250g)",0,44.7,GST Free Income,1.00,No
"Alfie's - Almond - Raw Pouch (250g)",5.66,AFC048,AFC048,"Alfie's - Almond - Raw Pouch (250g)",5.66,123.002,Active,1.00,Yes
"Alfie's - Almond - Roasted Pouch (250g)",5.13,AFC047,AFC047,"Alfie's - Almond - Roasted Pouch (250g)",5.13,123.001,Active,1.00,Yes
"Alfie's - Almond - Smoked Pouch (250g)",7.69,AFC046,AFC046,"Alfie's - Almond - Smoked Pouch (250g)",7.69,123,Active,1.00,Yes
"Alfie's - Almond - Tamari Pouch (250g)",7.69,AFC049,AFC049,"Alfie's - Almond - Tamari Pouch (250g)",7.69,123.003,Active,1.00,Yes
"Alfie's - Almond & Pistachio Butter (250g)",45.3,AFC024,AFC024,"Alfie's - Almond & Pistachio Butter (250g)",45.3,102.133,Active,1.00,Yes
"Alfie's - Almond Butter (250g)",37.8,AFC003,AFC003,"Alfie's - Almond Butter (250g)",37.8,102.01,Active,1.00,Yes
"Alfie's - Almond Butter (500g)",66,AFC035,AFC035,"Alfie's - Almond Butter (500g)",66,102.12,Active,1.00,Yes
"Alfie's - Almond Butter (800g)",90,AFC016,AFC016,"Alfie's - Almond Butter (800g)",90,102.136,Active,1.00,Yes
"Alfie's - Brazil - Raw Pouch (250g)",8.71,AFC050,AFC050,"Alfie's - Brazil - Raw Pouch (250g)",8.71,123.004,Active,1.00,Yes
"Alfie's - Cashew - Cinnamon Pouch (250g)",7.29,AFC086,AFC086,"Alfie's - Cashew - Cinnamon Pouch (250g)",7.29,123.028,Active,1.00,Yes
"Alfie's - Cashew - Honey Pouch (250g)",7.29,AFC085,AFC085,"Alfie's - Cashew - Honey Pouch (250g)",7.29,123.027,Active,1.00,Yes
"Alfie's - Cashew - Raw Pouch (250g)",7.46,AFC052,AFC052,"Alfie's - Cashew - Raw Pouch (250g)",7.46,123.006,Active,1.00,Yes
"Alfie's - Cashew - Salted Pouch (250g)",7.57,AFC083,AFC083,"Alfie's - Cashew - Salted Pouch (250g)",7.57,123.025,Active,1.00,Yes
"Alfie's - Cashew - Thai Sweet Chilli Pouch (250g)",7.49,AFC084,AFC084,"Alfie's - Cashew - Thai Sweet Chilli Pouch (250g)",7.49,123.026,Active,1.00,Yes
"Alfie's - Cashew Butter Jar (250g)",47.7,AFC017,AFC017,"Alfie's - Cashew Butter Jar (250g)",47.7,102.125,Active,1.00,Yes
"Alfie's - Crunchy DR Peanut Butter Jar (500g)",42,AFC025,AFC025,"Alfie's - Crunchy DR Peanut Butter Jar (500g)",42,102.015,Active,1.00,Yes
"Alfie's - Crunchy Peanut Butter (300g)",32.22,AFC002,AFC002,"Alfie's - Crunchy Peanut Butter (300g)",32.22,102.127,Active,1.00,Yes
"Alfie's - Crunchy Peanut Butter (500g)",45.96,AFC033,AFC033,"Alfie's - Crunchy Peanut Butter (500g)",45.96,102.019,Active,1.00,Yes
"Alfie's - Crunchy Peanut Butter Tub (2kg)",25,AFC006,AFC006,"Alfie's - Crunchy Peanut Butter Tub (2kg)",25,102.143,Active,1.00,Yes
"Alfie's - Crunchy Peanut Butter Tub (800g)",67.92,AFC014,AFC014,"Alfie's - Crunchy Peanut Butter Tub (800g)",67.92,102.137,Active,1.00,Yes
"Alfie's - Hazelnut - Roasted Pouch (250g)",8.7,AFC053,AFC053,"Alfie's - Hazelnut - Roasted Pouch (250g)",8.7,123.007,Active,1.00,Yes
"Alfie's - Macadamia - Raw Pouch (250g)",11.55,AFC055,AFC055,"Alfie's - Macadamia - Raw Pouch (250g)",11.55,123.009,Active,1.00,Yes
"Alfie's - Macadamia - Roasted Pouch (250g)",12.19,AFC054,AFC054,"Alfie's - Macadamia - Roasted Pouch (250g)",12.19,123.008,Active,1.00,Yes
"Alfie's - Macadamia - Salted (Australian) 250g",11.78,AFC087,AFC087,"Alfie's - Macadamia - Salted (Australian) 250g",11.78,123.029,Active,1.00,Yes
"Alfie's - Multigrain & Soy Mix Pouch (250g)",6.39,AFC088,AFC088,"Alfie's - Multigrain & Soy Mix Pouch (250g)",6.39,123.03,Active,1.00,Yes
"Alfie's - Organic Almond Butter (250g)",66,AFC004,AFC004,"Alfie's - Organic Almond Butter (250g)",66,102.007,Active,1.00,Yes
"Alfie's - Organic Almond Pouch (250g)",11.04,AFC093,AFC093,"Alfie's - Organic Almond Pouch (250g)",11.04,123.017,Active,1.00,Yes
"Alfie's - Peanut - Roasted Pouch (250g)",4.25,AFC064,AFC064,"Alfie's - Peanut - Roasted Pouch (250g)",4.25,123.018,Active,1.00,Yes
"Alfie's - Peanut - Salted Pouch (250g)",3.95,AFC082,AFC082,"Alfie's - Peanut - Salted Pouch (250g)",3.95,123.024,Active,1.00,Yes
"Alfie's - Pecan - Raw Pouch (250g)",10.1,AFC058,AFC058,"Alfie's - Pecan - Raw Pouch (250g)",10.1,123.011,Active,1.00,Yes
"Alfie's - Pine Nut - Raw Pouch (250g)",16.05,AFC059,AFC059,"Alfie's - Pine Nut - Raw Pouch (250g)",16.05,123.012,Active,1.00,Yes
"Alfie's - Pistachio - Raw Kernels Pouch (250g)",13.25,AFC057,AFC057,"Alfie's - Pistachio - Raw Kernels Pouch (250g)",13.25,123.013,Active,1.00,Yes
"Alfie's - Pistachio - Salted Pouch (250g)",8.09,AFC060,AFC060,"Alfie's - Pistachio - Salted Pouch (250g)",8.09,123.014,Active,1.00,Yes
"Alfie's - Pretzel w Peanut Butter Nuggets (250g)",6.99,AFC089,AFC089,"Alfie's - Pretzel w Peanut Butter Nuggets (250g)",6.99,123.031,Active,1.00,Yes
"Alfie's - Pretzels (250g)",4.09,AFC091,AFC091,"Alfie's - Pretzels (250g)",4.09,123.033,Active,1.00,Yes
"Alfie's - Smooth Dark Roasted Peanut Butter (300g)",30,AFC018,AFC018,"Alfie's - Smooth Dark Roasted Peanut Butter (300g)",30,102.14,Active,1.00,Yes
"Alfie's - Smooth Dark Roasted Peanut Butter (500g)",45.96,AFC034,AFC034,"Alfie's - Smooth Dark Roasted Peanut Butter (500g)",45.96,102.017,Active,1.00,Yes
"Alfie's - Smooth DR Peanut Butter Tub (800g)",67.92,AFC040,AFC040,"Alfie's - Smooth DR Peanut Butter Tub (800g)",67.92,102.006,Active,1.00,Yes
"Alfie's - Smooth Peanut Butter (300g)",32.22,AFC001,AFC001,"Alfie's - Smooth Peanut Butter (300g)",32.22,102.128,Active,1.00,Yes
"Alfie's - Smooth Peanut Butter (500g)",45.96,AFC032,AFC032,"Alfie's - Smooth Peanut Butter (500g)",45.96,102.018,Active,1.00,Yes
"Alfie's - Smooth Peanut Butter Tub (800g)",67.92,AFC012,AFC012,"Alfie's - Smooth Peanut Butter Tub (800g)",67.92,102.139,Active,1.00,Yes
"Alfie's - Soy Crisps - Original - Pouch (250g)",5.48,AFC092,AFC092,"Alfie's - Soy Crisps - Original - Pouch (250g)",5.48,123.034,Active,1.00,Yes
